TF	M1	M2	M3	M4	M5	M6	M7
FOXD3	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	2.1118401584127002	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
FOXF2	-1.3641772456753145	0.872933876880468	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.724655138122302
FOXG1	-1.6169531538284387	-1.5743820831377153	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	2.034881117401048	-1.386932043643891
FOXH1	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	0.3298077156561226	0.6675612219979264	-1.4927894693524473	-1.386932043643891
FOXJ1	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	2.0697915490281176	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
FOXJ2	-0.2735475761766422	0.5295310081909226	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-0.2086387290570253	-1.386932043643891
FOXJ3	-1.6169531538284387	-1.5849481079737007	-0.8695464127784555	0.038620276057887655	-1.9860930652996192	0.00974619490221795	-1.386932043643891
FOXK1	-1.6169531538284387	1.2160730971390248	-1.5208410151355243	-1.2484659620808498	-1.9730379386980852	-0.5472699304652399	-0.5174596436342196
FOXK2	-1.6169531538284387	-1.5849481042195943	-1.5208410151355243	0.7542442008420692	-1.9860930652996192	-0.12642109200698678	-1.3071600953642966
FOXL1	0.06814621905797631	1.808440512818309	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.1378755860898468
FOXL2	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	0.6114303098241803	0.3719548523637393
FOXM1	-1.6169531538284387	-1.5849481079585934	-1.5208410151355243	1.9713891514804078	-1.9860930652996192	-1.3465385826113676	-1.386932043643891
FOXO1	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	2.1113891751479814	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
FOXO3	0.37420097099123767	0.7487964957233653	-1.5208410151355243	-0.5785830467323358	-1.9860930652996192	-1.4720458597999113	-1.3869320429904486
FOXO4	-0.06639226409426478	0.2147302559995033	-1.5208410151355243	0.047356067754590656	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
FOXP1	-1.6169531538284387	1.2452529434750013	-1.5208410151355243	-0.6984482096211745	-1.6970048660494854	-1.2590950220409791	-0.6123318895695437
FOXP2	-1.6169531538284387	-1.579261674156256	-1.5208410151355243	0.6763834690768874	-1.9860930652996192	-0.03096847930354548	-1.3301895213826262
GABPA	-0.9764365258999037	-1.1921465373811146	-1.0246321067005544	-0.39678180826581977	-1.9860930652996192	-0.0324025911901397	-1.386932043643891
GATA1	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	0.9383528308873905	-0.07952574506922971
GATA2	-1.0343151491149156	-0.755812056401799	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-0.020099041345647568	0.033511990580766995
GATA3	-1.6169531538284387	-1.5849481079737007	1.7963074920843713	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
GFI1	-1.6169531538284387	-1.5849481079737007	1.798504420228694	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
GFI1B	-1.6169531538284387	-1.5767014768754715	-1.5208410151355243	-0.9680117238581235	-1.9860930652996192	1.7349995832779301	-1.386932043643891
GLI1	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.7441468981259713	2.3225646317471975	-1.4927894693524473	-1.386932043643891
GLI2	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.7490744603393542	2.327148497433099	-1.4927894693524473	-1.386932043643891
GLI3	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.7240505005357413	2.293124777947181	-1.4927894693524473	-1.386932043643891
GMEB1	-0.4391521222322855	-1.5849481079737007	-1.5208410151355243	-0.7853261878947048	0.5216609813482957	-1.4927894693524473	-0.6819774857690005
GMEB2	-1.3561833319776946	-1.5849481079737007	-1.1297628152335122	-0.5942561907030267	0.17773648304986248	-0.7126894139183714	-1.386932043643891
